employee_id,name,designation,department,seniority_level,experience_years,qualification,join_date,state
EMP00090,Kabir Samra,Assistant Director,State DES - Uttar Pradesh,4,13.2,M.Sc. Data Science,2013-11-23,Assam
EMP00091,Falak Prabhu,Junior Statistical Officer (JSO),Price Statistics Division (PSD),1,1.4,MBA,2025-05-22,Gujarat
EMP00092,Vinaya Kant,Additional Director General,Social Statistics Division (SSD),8,24.6,MBA,2002-06-12,Chhattisgarh
EMP00093,Mohammed Sem,Deputy Director,Price Statistics Division (PSD),5,12.1,M.Sc. Statistics,2014-06-04,Rajasthan
EMP00094,Utkarsh Rao,Senior Statistical Officer (SSO),State DES - Bihar,3,5.9,PhD Statistics,2021-12-19,Kerala
EMP00095,Bhavini Gola,Deputy Director,Price Statistics Division (PSD),5,18.8,M.Tech Computer Science,2008-06-06,Gujarat
EMP00096,Anvi Nath,Director General,Central Statistics Office (CSO),9,23.5,B.Sc. Statistics,2003-05-23,Chhattisgarh
EMP00097,Maanas Tella,Additional Director General,Central Statistics Office (CSO),8,19.2,M.Tech Computer Science,2007-08-15,Assam
EMP00098,Hitesh Shroff,Junior Statistical Officer (JSO),State DES - Uttar Pradesh,1,2.0,M.Sc. Statistics,2024-07-16,Karnataka
EMP00099,Anjali Bhasin,Junior Statistical Officer (JSO),State DES - Karnataka,1,1.6,M.Tech Computer Science,2025-04-04,Karnataka
EMP00100,Harini Bali,Director,State DES - Karnataka,7,22.3,M.Sc. Data Science,2004-07-15,Jharkhand
EMP00101,Aarush Prabhu,Deputy Director,Data Informatics & Innovation Division (DIID),5,17.6,M.Tech Computer Science,2009-10-02,Uttarakhand
EMP00102,Bahadurjit Mital,Statistical Officer (SO),Price Statistics Division (PSD),2,8.6,M.Sc. Data Science,2018-11-03,Kerala
EMP00103,Joshua Singh,Senior Statistical Officer (SSO),National Accounts Division (NAD),3,9.5,B.Sc. Statistics,2017-08-23,Madhya Pradesh
EMP00104,Amaira Dasgupta,Deputy Director,Economic Census Division (ECD),5,9.3,M.Tech Computer Science,2017-02-22,Odisha
EMP00105,Yashvi Borra,Assistant Director,State DES - Maharashtra,4,10.3,M.Sc. Data Science,2016-05-27,Bihar
EMP00106,Harsh Bains,Junior Statistical Officer (JSO),Economic Census Division (ECD),1,1.7,M.Tech Computer Science,2025-02-15,Odisha
EMP00107,Mohammed Agrawal,Director,State DES - Maharashtra,7,26.3,PhD Statistics,2000-02-20,Odisha
EMP00108,Mitali Basak,Director,State DES - Karnataka,7,23.8,M.Tech Computer Science,2003-02-08,West Bengal
EMP00109,Vedhika Seshadri,Junior Statistical Officer (JSO),State DES - Tamil Nadu,1,5.0,M.Tech Computer Science,2021-01-25,Uttarakhand
EMP00110,Bhavini Shroff,Additional Director General,State DES - Uttar Pradesh,8,24.2,M.Tech Computer Science,2002-10-14,Uttar Pradesh
EMP00111,Dev Seth,Additional Director General,State DES - Uttar Pradesh,8,29.6,M.A. Economics,1997-06-11,Madhya Pradesh
EMP00112,Varsha Goswami,Senior Statistical Officer (SSO),State DES - Bihar,3,7.3,PhD Statistics,2019-11-13,Punjab
EMP00113,Jagvi Bali,Director General,National Sample Survey Office (NSSO),9,22.4,M.A. Economics,2004-06-04,Kerala
EMP00114,Timothy Dara,Director General,Central Statistics Office (CSO),9,31.9,PhD Statistics,1995-01-07,Madhya Pradesh
EMP00115,Gunbir Kant,Additional Director General,Central Statistics Office (CSO),8,25.5,M.Sc. Data Science,2001-09-05,Kerala
EMP00116,Libni Chhabra,Additional Director General,State DES - Uttar Pradesh,8,28.6,M.Sc. Statistics,1998-11-20,West Bengal
EMP00117,Dayamai Singh,Senior Statistical Officer (SSO),Central Statistics Office (CSO),3,7.1,MBA,2019-04-27,Karnataka
EMP00118,Aarush Joshi,Additional Director General,State DES - Tamil Nadu,8,29.4,M.Sc. Mathematics,1997-12-10,Assam
EMP00119,Manan Talwar,Deputy Director,State DES - Uttar Pradesh,5,13.2,PhD Statistics,2013-08-18,Gujarat
EMP00120,Harsh Kaur,Assistant Director,State DES - Maharashtra,4,15.2,M.Sc. Mathematics,2011-05-25,Karnataka
EMP00121,Yatin Tripathi,Director,State DES - Maharashtra,7,19.1,M.Tech Computer Science,2007-05-24,West Bengal
EMP00122,Anvi Seshadri,Additional Director General,State DES - Uttar Pradesh,8,28.4,PhD Statistics,1998-06-18,Telangana
EMP00123,Bhavini Rao,Director,Social Statistics Division (SSD),7,20.5,M.Sc. Data Science,2006-10-13,Gujarat
EMP00124,Yashvi Tripathi,Director,State DES - Bihar,7,15.5,PhD Statistics,2011-07-22,Andhra Pradesh
EMP00125,Yatin Seth,Senior Statistical Officer (SSO),Central Statistics Office (CSO),3,9.0,M.Sc. Mathematics,2017-10-11,Jharkhand
EMP00126,Imaran Goswami,Additional Director General,State DES - Uttar Pradesh,8,19.2,B.Sc. Statistics,2007-07-28,Bihar
EMP00127,Jeet Balasubramanian,Statistical Officer (SO),Economic Census Division (ECD),2,5.3,M.A. Economics,2021-12-13,Himachal Pradesh
EMP00128,Jeet Samra,Joint Director,State DES - Maharashtra,6,22.2,MBA,2004-11-23,Haryana
EMP00129,Bimala Bali,Additional Director General,Central Statistics Office (CSO),8,28.5,M.Sc. Statistics,1998-11-22,Gujarat
EMP00130,Aarush Chhabra,Assistant Director,Data Informatics & Innovation Division (DIID),4,13.5,M.Sc. Statistics,2013-08-06,Tamil Nadu
EMP00131,Mohammed Agrawal,Junior Statistical Officer (JSO),Central Statistics Office (CSO),1,1.2,M.Tech Computer Science,2025-06-14,Telangana
EMP00132,Harsh Singh,Director General,State DES - Tamil Nadu,9,26.9,M.Sc. Mathematics,2000-03-03,Uttar Pradesh
EMP00133,Bahadurjit Tiwari,Director,Price Statistics Division (PSD),7,22.4,PhD Statistics,2004-03-08,Uttarakhand
EMP00134,Mitali Tella,Deputy Director,State DES - Tamil Nadu,5,13.6,B.Sc. Statistics,2013-05-22,Odisha
EMP00135,Rushil Luthra,Statistical Officer (SO),Social Statistics Division (SSD),2,5.1,M.Tech Computer Science,2021-12-09,Madhya Pradesh
EMP00136,Mitali Tripathi,Deputy Director,Data Informatics & Innovation Division (DIID),5,11.0,PhD Statistics,2015-04-13,Tamil Nadu
EMP00137,Aadi Sidhu,Deputy Director,Economic Census Division (ECD),5,18.9,B.Sc. Statistics,2008-05-01,Andhra Pradesh
EMP00138,Aadi Tiwari,Junior Statistical Officer (JSO),State DES - Bihar,1,4.6,PhD Statistics,2022-04-20,Punjab
EMP00139,Dayamai Sidhu,Assistant Director,State DES - Karnataka,4,12.4,M.Tech Computer Science,2014-11-04,Bihar
EMP00140,Ekaja Tella,Junior Statistical Officer (JSO),State DES - Uttar Pradesh,1,2.2,B.Sc. Statistics,2024-06-24,Uttarakhand
EMP00141,Maanas Samra,Deputy Director,Data Informatics & Innovation Division (DIID),5,12.3,M.Sc. Mathematics,2014-03-26,Rajasthan
EMP00142,Rushil Basak,Joint Director,Economic Census Division (ECD),6,18.4,M.Sc. Mathematics,2008-08-26,Kerala
EMP00143,Ranveer Mital,Joint Director,State DES - Uttar Pradesh,6,21.7,M.Sc. Statistics,2005-04-28,Bihar
EMP00144,Vedhika Sandhu,Director,State DES - Maharashtra,7,26.6,M.A. Economics,2000-07-01,Karnataka
EMP00145,Gaurika Rao,Statistical Officer (SO),State DES - Tamil Nadu,2,5.2,M.Tech Computer Science,2021-07-27,Uttarakhand
EMP00146,Dev Kant,Statistical Officer (SO),State DES - Uttar Pradesh,2,6.7,B.Sc. Statistics,2020-09-11,Himachal Pradesh
EMP00147,Aarush Murthy,Assistant Director,State DES - Tamil Nadu,4,12.5,PhD Statistics,2014-11-14,Punjab
EMP00148,Eta Bhatt,Junior Statistical Officer (JSO),Economic Census Division (ECD),1,4.8,PhD Statistics,2022-02-08,Tamil Nadu
EMP00149,Bimala Rao,Senior Statistical Officer (SSO),Social Statistics Division (SSD),3,7.9,MBA,2019-12-24,Uttarakhand
EMP00150,Harsh Basak,Director,State DES - Uttar Pradesh,7,22.9,MBA,2004-01-23,Kerala
EMP00151,Siya Rai,Additional Director General,Price Statistics Division (PSD),8,23.3,M.A. Economics,2003-11-12,Tamil Nadu
EMP00152,Rushil Kapoor,Joint Director,Economic Census Division (ECD),6,12.7,M.Sc. Data Science,2014-08-03,Tamil Nadu
EMP00153,Varsha Rai,Junior Statistical Officer (JSO),Social Statistics Division (SSD),1,1.2,M.Sc. Data Science,2025-10-07,Bihar
EMP00154,Anjali Seshadri,Director General,Price Statistics Division (PSD),9,24.5,M.Sc. Data Science,2002-03-26,Haryana
EMP00155,Ekaja Dubey,Junior Statistical Officer (JSO),National Accounts Division (NAD),1,2.1,M.Sc. Mathematics,2024-05-26,Chhattisgarh
EMP00156,Darsh Joshi,Junior Statistical Officer (JSO),Social Statistics Division (SSD),1,1.5,M.Sc. Data Science,2025-06-01,Uttarakhand
EMP00157,Darsh Borra,Junior Statistical Officer (JSO),Data Informatics & Innovation Division (DIID),1,1.5,M.Sc. Statistics,2025-08-15,Karnataka
EMP00158,Timothy Kant,Director General,State DES - Uttar Pradesh,9,29.1,M.Sc. Data Science,1997-01-24,Himachal Pradesh
EMP00159,Yatin Tiwari,Director General,State DES - Tamil Nadu,9,25.6,B.Sc. Statistics,2001-08-28,Maharashtra
EMP00160,Krishna De,Statistical Officer (SO),State DES - Uttar Pradesh,2,5.4,M.Sc. Statistics,2021-06-20,Karnataka
EMP00161,Harsh Bains,Senior Statistical Officer (SSO),State DES - Tamil Nadu,3,6.8,M.A. Economics,2020-10-17,Andhra Pradesh
EMP00162,Ranveer Sem,Director General,National Sample Survey Office (NSSO),9,29.3,M.Sc. Statistics,1997-12-28,Chhattisgarh
EMP00163,Viraj De,Additional Director General,Data Informatics & Innovation Division (DIID),8,28.7,M.A. Economics,1998-07-14,Odisha
EMP00164,Lakshit Goswami,Joint Director,State DES - Tamil Nadu,6,17.1,M.Tech Computer Science,2009-03-22,Telangana
EMP00165,Libni Dasgupta,Statistical Officer (SO),National Sample Survey Office (NSSO),2,2.6,M.Sc. Statistics,2024-02-24,Madhya Pradesh
EMP00166,Utkarsh Kant,Senior Statistical Officer (SSO),State DES - Karnataka,3,9.6,M.A. Economics,2017-07-12,Tamil Nadu
EMP00167,Imaran Chaudhuri,Director,State DES - Bihar,7,25.4,B.Sc. Statistics,2001-10-10,Punjab
EMP00168,Neelima Goswami,Director General,State DES - Tamil Nadu,9,24.6,PhD Statistics,2002-02-12,Gujarat
EMP00169,Tejas Taneja,Joint Director,Economic Census Division (ECD),6,13.4,M.Sc. Data Science,2013-09-25,Madhya Pradesh
EMP00170,Jagvi Murthy,Director General,State DES - Tamil Nadu,9,22.3,M.Tech Computer Science,2004-03-09,West Bengal
EMP00171,Mohammed Bali,Deputy Director,Social Statistics Division (SSD),5,18.2,B.Sc. Statistics,2008-03-19,Uttar Pradesh
EMP00172,Varsha Dara,Statistical Officer (SO),State DES - Tamil Nadu,2,3.0,B.Sc. Statistics,2023-12-17,Karnataka
EMP00173,Viraj Kaur,Director,National Accounts Division (NAD),7,20.4,M.A. Economics,2006-12-11,Punjab
EMP00174,Timothy Bhasin,Statistical Officer (SO),National Accounts Division (NAD),2,8.2,M.Sc. Mathematics,2018-01-22,Himachal Pradesh
EMP00175,Nikita Krishnan,Additional Director General,State DES - Uttar Pradesh,8,25.9,PhD Statistics,2001-05-07,Madhya Pradesh
EMP00176,Bhavini Chaudhary,Statistical Officer (SO),National Sample Survey Office (NSSO),2,4.4,M.Tech Computer Science,2022-08-17,Uttarakhand
EMP00177,Varsha Agrawal,Junior Statistical Officer (JSO),State DES - Karnataka,1,1.9,B.Sc. Statistics,2025-04-10,West Bengal
EMP00178,Viraj Mani,Senior Statistical Officer (SSO),Economic Census Division (ECD),3,11.6,M.A. Economics,2015-01-16,Tamil Nadu
EMP00179,Utkarsh De,Senior Statistical Officer (SSO),State DES - Maharashtra,3,5.3,M.Sc. Data Science,2021-09-27,Jharkhand
EMP00180,Varsha Lata,Joint Director,State DES - Bihar,6,12.9,B.Sc. Statistics,2014-01-15,Madhya Pradesh
EMP00181,Aarush Bains,Joint Director,State DES - Karnataka,6,18.9,MBA,2008-05-04,Madhya Pradesh
EMP00182,Krishna Narayanan,Joint Director,State DES - Karnataka,6,14.1,PhD Statistics,2012-02-14,Telangana
EMP00183,Tejas Goswami,Assistant Director,Data Informatics & Innovation Division (DIID),4,10.4,M.Sc. Statistics,2016-05-24,Andhra Pradesh
EMP00184,Hitesh Chacko,Joint Director,National Sample Survey Office (NSSO),6,21.3,M.Sc. Statistics,2005-09-07,Jharkhand
EMP00185,Ekaja Mani,Joint Director,State DES - Tamil Nadu,6,16.2,M.Sc. Mathematics,2010-02-05,Gujarat
EMP00186,Gaurika Mody,Senior Statistical Officer (SSO),State DES - Tamil Nadu,3,10.0,M.Sc. Statistics,2016-11-16,Uttar Pradesh
EMP00187,Mitali Bali,Additional Director General,State DES - Karnataka,8,26.2,M.A. Economics,2000-03-15,Haryana
EMP00188,Anjali Dasgupta,Additional Director General,Economic Census Division (ECD),8,25.6,B.Sc. Statistics,2001-09-03,Telangana
EMP00189,Anvi Sem,Additional Director General,Social Statistics Division (SSD),8,18.5,M.Tech Computer Science,2008-11-28,Karnataka
EMP00190,Tejas Samra,Director General,State DES - Karnataka,9,26.6,B.Sc. Statistics,2000-10-21,Odisha
EMP00191,Kabir Bhatti,Additional Director General,Central Statistics Office (CSO),8,24.0,PhD Statistics,2002-06-23,Tamil Nadu
EMP00192,Nikita Chaudhary,Senior Statistical Officer (SSO),State DES - Bihar,3,4.4,PhD Statistics,2022-09-17,Odisha
EMP00193,Bahadurjit Luthra,Joint Director,Economic Census Division (ECD),6,16.5,MBA,2010-06-22,Madhya Pradesh
EMP00194,Amaira Ahluwalia,Joint Director,National Sample Survey Office (NSSO),6,12.8,MBA,2014-05-24,Punjab
EMP00195,Tejas Chaudhuri,Senior Statistical Officer (SSO),State DES - Karnataka,3,7.3,M.Sc. Mathematics,2019-05-21,Telangana
EMP00196,Mohammed Chaudhuri,Director,State DES - Bihar,7,16.5,M.Sc. Statistics,2010-09-13,Punjab
EMP00197,Jeet Gill,Joint Director,State DES - Tamil Nadu,6,21.8,M.Sc. Statistics,2005-09-12,Madhya Pradesh
EMP00198,Amaira Kant,Deputy Director,Price Statistics Division (PSD),5,10.8,M.A. Economics,2016-04-08,Assam
EMP00199,Maanas Balasubramanian,Statistical Officer (SO),National Sample Survey Office (NSSO),2,4.1,B.Sc. Statistics,2022-10-05,Haryana
EMP00200,Amaira Kaur,Senior Statistical Officer (SSO),State DES - Bihar,3,5.6,M.Sc. Mathematics,2021-01-14,Odisha
EMP00201,Siya Mukhopadhyay,Assistant Director,State DES - Karnataka,4,15.7,M.Tech Computer Science,2011-04-18,Odisha
EMP00202,Zaitra Agrawal,Additional Director General,Price Statistics Division (PSD),8,28.8,M.A. Economics,1998-08-15,Uttarakhand
EMP00203,Timothy Chhabra,Director,Data Informatics & Innovation Division (DIID),7,21.0,M.Sc. Mathematics,2005-10-05,Rajasthan
EMP00204,Imaran Borra,Junior Statistical Officer (JSO),Social Statistics Division (SSD),1,3.6,M.Sc. Statistics,2023-02-10,Jharkhand
EMP00205,Nikita Bali,Senior Statistical Officer (SSO),State DES - Maharashtra,3,6.7,M.Sc. Mathematics,2020-02-08,Madhya Pradesh
EMP00206,Jagvi Prabhu,Joint Director,Data Informatics & Innovation Division (DIID),6,23.2,B.Sc. Statistics,2003-09-12,Andhra Pradesh
EMP00207,Zaitra Kaur,Statistical Officer (SO),Central Statistics Office (CSO),2,4.6,M.A. Economics,2022-12-21,Tamil Nadu
EMP00208,Hitesh Gill,Senior Statistical Officer (SSO),Economic Census Division (ECD),3,5.4,PhD Statistics,2021-12-16,Bihar
EMP00209,Aahana Murthy,Junior Statistical Officer (JSO),Central Statistics Office (CSO),1,4.6,M.Tech Computer Science,2022-03-18,Rajasthan
EMP00210,Lakshit Dubey,Director General,Economic Census Division (ECD),9,27.1,M.Sc. Data Science,1999-02-02,Punjab
EMP00211,Zaitra Shukla,Additional Director General,State DES - Uttar Pradesh,8,18.8,B.Sc. Statistics,2008-10-08,Jharkhand
